Year of Project Year,Subsystem 1 - Technology Mid-Type,Country (group),Subsystem 1 - Technology Broad Category,Subsystem 1 - Technology Sub-Type (group),Country,Subsystem 1 - Technology Sub-Type,Rated Power (kW),Storage Capacity (kWh)
2016,Lithium-ion battery,Japan,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Japan,Unknown Technology Sub-Type ,6000,6000
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,8000
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,200,0
2014,Lithium-ion battery,Germany,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Germany,Unknown Technology Sub-Type ,3,6
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,15,79.95
2014,Lithium-ion battery,Japan,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Japan,Unknown Technology Sub-Type ,1000,2800
2016,Sodium-based battery,United States,Electro-chemical battery and chemical storage,Sodium-ion battery,United States,Sodium-ion battery,25,87.5
2014,Sodium-based battery,United States,Electro-chemical battery and chemical storage,Sodium-nickel-chloride battery,United States,Sodium-nickel-chloride battery,100,200
2013,Sodium-based battery,United States,Electro-chemical battery and chemical storage,Sodium-ion battery,United States,Sodium-ion battery,15,60
2015,Sodium-based battery,United States,Electro-chemical battery and chemical storage,Sodium-ion battery,United States,Sodium-ion battery,10,20
2012,Sodium-based battery,China,Electro-chemical battery and chemical storage,Sodium-nickel-chloride battery,China,Sodium-nickel-chloride battery,100,170
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,United States,Lithium-iron phosphate battery,11,77
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,United States,Lithium-iron phosphate battery,5,15
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,United States,Lithium-iron phosphate battery,24,192
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,United States,Lithium-iron phosphate battery,5,25
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,United States,Lithium-iron phosphate battery,5,20
2016,Electro-chemical capacitor,China,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,China,Unknown Technology Sub-Type ,1000,700
2013,Flow battery,Australia,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Australia,Zinc-bromine flow battery,25,50
2017,Flow battery,Australia,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Australia,Vanadium redox flow battery,300,999
2011,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,United States,Zinc-bromine flow battery,250,500
2014,Flow battery,French Polynesia,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,French Polynesia,Zinc-bromine flow battery,1000,2000
2015,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Advanced lead-acid battery,United States,Advanced lead-acid battery,600,0
2015,Lithium-ion battery,South Korea,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,South Korea,Unknown Technology Sub-Type ,12500,50000
2010,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,100,400
2011,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,100,320
2010,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,50,158.5
2013,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,United States,Lithium-iron phosphate battery,300,300
2013,Unknown Technology Mid-Type,Japan,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Japan,Unknown Technology Sub-Type ,14,28
2013,Flow battery,United Kingdom,Electro-chemical battery and chemical storage,Vanadium redox flow battery,United Kingdom,Vanadium redox flow battery,100,1680
2013,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,United States,Zinc-bromine flow battery,500,1000
2015,Flow battery,Germany,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Germany,Vanadium redox flow battery,30,120
2014,Flow battery,China,Electro-chemical battery and chemical storage,Vanadium redox flow battery,China,Vanadium redox flow battery,2000,4000
2012,Flow battery,South Korea,Electro-chemical battery and chemical storage,Vanadium redox flow battery,South Korea,Vanadium redox flow battery,100,200
2014,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,United States,Zinc-bromine flow battery,25,50
2013,Flow battery,Austria,Electro-chemical battery and chemical storage,Zinc-iron flow battery,Austria,Zinc-iron flow battery,64,181.12
2015,Flow battery,Australia,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Australia,Zinc-bromine flow battery,300,660
2012,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Advanced lead-acid battery,United States,Advanced lead-acid battery,400,1900
2014,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Lead-carbon battery,United States,Lead-carbon battery,500,500
2012,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Lead-carbon battery,United States,Lead-carbon battery,16,48
2012,Lithium-ion battery,Japan,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Japan,Unknown Technology Sub-Type ,80,240
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-ion titanate battery,United States,Lithium-ion titanate battery,375,251.25
2013,Lithium-ion battery,Japan,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,Japan,Lithium-iron phosphate battery,48,57.6
2012,Lithium-ion battery,Japan,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Japan,Unknown Technology Sub-Type ,288,1497.6
2013,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Advanced lead-acid battery,United States,Advanced lead-acid battery,225,900
2014,Lithium-ion battery,Japan,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Japan,Unknown Technology Sub-Type ,2000,1000
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,United States,Lithium-iron phosphate battery,21,90.93
2014,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,250,250
2011,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,100,250
2010,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,1000,2000
2012,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,650,2600
2014,Lithium-ion battery,South Korea,Electro-chemical battery and chemical storage,Lithium polymer battery,South Korea,Lithium polymer battery,1250,3337.5
2015,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,0,0
2015,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,0,0
2015,Unknown Technology Mid-Type,Australia,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Australia,Unknown Technology Sub-Type ,2,20
2015,Flow battery,Germany,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Germany,Vanadium redox flow battery,10,40
2015,Flow battery,United States,Electro-chemical battery and chemical storage,Vanadium redox flow battery,United States,Vanadium redox flow battery,30,120
2015,Flow battery,Czech Republic,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Czech Republic,Vanadium redox flow battery,30,129.9
2014,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,0
2016,Lithium-ion battery,Australia,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,Australia,Lithium-iron phosphate battery,16,16
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1,0
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1,0
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1,0
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1,0
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1,0
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1,0
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1,0
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1,0
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1,0
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1,0
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1,0
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1,0
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1,0
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1,0
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1,0
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1,0
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,6,14.22
2015,Lithium-ion battery,Canada,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Canada,Unknown Technology Sub-Type ,500,0
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,United States,Lithium-iron phosphate battery,20,163.4
2012,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,2500,3500
2014,Lithium-ion battery,South Korea,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,South Korea,Lithium-iron phosphate battery,1500,7005
2015,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,983,1966
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,4,8
2015,Flow battery,United States,Electro-chemical battery and chemical storage,Vanadium redox flow battery,United States,Vanadium redox flow battery,250,1000
2014,Flow battery,Australia,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Australia,Vanadium redox flow battery,30,129.9
2015,Lithium-ion battery,Australia,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Australia,Unknown Technology Sub-Type ,1000,2500
2015,Unknown Technology Mid-Type,British Virgin Islands,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,British Virgin Islands,Unknown Technology Sub-Type ,1000,500
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,200,200
2019,Sodium-based battery,Australia,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Australia,Unknown Technology Sub-Type ,30,30
2016,Flow battery,Canada,Electro-chemical battery and chemical storage,Zinc-iron flow battery,Canada,Zinc-iron flow battery,2000,6000
2015,Lithium-ion battery,Saudi Arabia,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Saudi Arabia,Unknown Technology Sub-Type ,20,187
2015,Lithium-ion battery,Switzerland,Electro-chemical battery and chemical storage,Lithium-ion titanate battery,Switzerland,Lithium-ion titanate battery,720,504
2015,Nickel-based battery,Qatar,Electro-chemical battery and chemical storage,Nickel-cadmium battery,Qatar,Nickel-cadmium battery,2000,0
2015,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,200,300
2016,Unknown Technology Mid-Type,India,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,India,Unknown Technology Sub-Type ,100000,400000
2016,Flow battery,Canada,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Canada,Vanadium redox flow battery,2000,8000
2014,Hydrogen storage,Canada,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Canada,Unknown Technology Sub-Type ,2000,0
2016,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Lead-carbon battery,United States,Lead-carbon battery,12500,12500
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,8000,4000
2017,Lithium-ion battery,United Kingdom,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United Kingdom,Unknown Technology Sub-Type ,20000,0
2010,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,100,25
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,10000,250000
2014,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,1000,2000
2016,Lithium-ion battery,Australia,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Australia,Unknown Technology Sub-Type ,5000,7000
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1850,7400
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,600,300
2016,Lithium-ion battery,Germany,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Germany,Unknown Technology Sub-Type ,68000,204000
2015,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2800,0
2017,Lithium-ion battery,Canada,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Canada,Unknown Technology Sub-Type ,14800,59200
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,20000,5000
2017,Lithium-ion battery,Australia,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Australia,Unknown Technology Sub-Type ,250,500
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,30,30
2013,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,30,30
2013,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,30,30
2013,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,30,30
2013,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,96,96
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,490,1960
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,30,30
2013,Lithium-ion battery,Germany,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Germany,Unknown Technology Sub-Type ,5,4
2013,Lithium-ion battery,South Korea,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,South Korea,Unknown Technology Sub-Type ,250,450
2013,Lithium-ion battery,South Korea,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,South Korea,Unknown Technology Sub-Type ,250,332.5
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,280
2015,Lithium-ion battery,Haiti,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Haiti,Unknown Technology Sub-Type ,100,200
2019,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,5000
2018,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,1000
2018,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,10000,40000
2017,Unknown Technology Mid-Type,Canada,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Canada,Unknown Technology Sub-Type ,5000,20000
2015,Lithium-ion battery,Jordan,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Jordan,Unknown Technology Sub-Type ,20000,0
2016,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1500,6000
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,4000,8000
2015,Zinc-based battery,Indonesia,Electro-chemical battery and chemical storage,Zinc-air battery,Indonesia,Zinc-air battery,4400,211200
2014,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Lead-carbon battery,United States,Lead-carbon battery,9000,0
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,730,365
2015,Lithium-ion battery,Ireland,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Ireland,Unknown Technology Sub-Type ,1000,0
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,8000
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,35,35
2015,Lithium-ion battery,France,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,France,Unknown Technology Sub-Type ,2000,2000
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium polymer battery,United States,Lithium polymer battery,10,10
2016,Lithium-ion battery,India,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,India,Unknown Technology Sub-Type ,10000,10000
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,0,0
2013,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,800,800
2014,Lithium-ion battery,Germany,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Germany,Unknown Technology Sub-Type ,30000,0
2016,Lithium-ion battery,India,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,India,Unknown Technology Sub-Type ,125,250
2011,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,China,Unknown Technology Sub-Type ,5000,10000
2017,Lithium-ion battery,Australia,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Australia,Unknown Technology Sub-Type ,100000,400000
2014,Lithium-ion battery,Chile,Electro-chemical battery and chemical storage,Lithium-nickel-manganese-cobalt battery,Chile,Lithium-nickel-manganese-cobalt battery,12000,3960
2007,Flow battery,Denmark,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Denmark,Vanadium redox flow battery,15,120
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,200,400
2014,Lithium-ion battery,Germany,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Germany,Unknown Technology Sub-Type ,30,24.9
2014,Lithium-ion battery,Germany,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Germany,Unknown Technology Sub-Type ,250,82.5
2015,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,39,78
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,250,750
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,60,240
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,18,18
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,400,1000
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,500,2000
2015,Unknown Technology Mid-Type,Germany,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Germany,Unknown Technology Sub-Type ,0,0
2016,Lithium-ion battery,Rwanda,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Rwanda,Unknown Technology Sub-Type ,2680,2680
2015,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,6000,10020
2017,Lithium-ion battery,Australia,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Australia,Unknown Technology Sub-Type ,20000,20000
2018,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-iron flow battery,United States,Zinc-iron flow battery,1000,2000
2015,Flow battery,United Kingdom,Electro-chemical battery and chemical storage,Vanadium redox flow battery,United Kingdom,Vanadium redox flow battery,40,160
2013,Lead-acid battery,Kenya,Electro-chemical battery and chemical storage,Advanced lead-acid battery,Kenya,Advanced lead-acid battery,100,400
2015,Lithium-ion battery,Germany,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Germany,Unknown Technology Sub-Type ,2000,2000
2015,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,China,Unknown Technology Sub-Type ,100,100
2016,Lithium-ion battery,South Korea,Electro-chemical battery and chemical storage,Lithium-nickel-manganese-cobalt battery,South Korea,Lithium-nickel-manganese-cobalt battery,36000,13320
2013,Nickel-based battery,Japan,Electro-chemical battery and chemical storage,Nickel-metal hydride battery,Japan,Nickel-metal hydride battery,300,75
2016,Zinc-based battery,Madagascar,Electro-chemical battery and chemical storage,Zinc-air battery,Madagascar,Zinc-air battery,938,45024
2013,Electro-chemical capacitor,Spain,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Spain,Unknown Technology Sub-Type ,4000,20000
2016,Lead-acid battery,Ireland,Electro-chemical battery and chemical storage,Hybrid lead-acid battery/electro-chemical capacitor,Ireland,Hybrid lead-acid battery/electro-chemical capacitor,7,70
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,5000,0
2011,Sodium-based battery,Italy,Electro-chemical battery and chemical storage,Sodium-nickel-chloride battery,Italy,Sodium-nickel-chloride battery,180,228.6
2015,Zinc-based battery,United States,Electro-chemical battery and chemical storage,Zinc-air battery,United States,Zinc-air battery,3000,6000
2015,Unknown Technology Mid-Type,Australia,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Australia,Unknown Technology Sub-Type ,10,50
2014,Lithium-ion battery,Spain,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Spain,Unknown Technology Sub-Type ,47,47
2014,Lithium-ion battery,Spain,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Spain,Unknown Technology Sub-Type ,23,23
2013,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium polymer battery,United States,Lithium polymer battery,25,50
2013,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,100,100
2002,Sodium-based battery,United States,Electro-chemical battery and chemical storage,Sodium-sulfur battery,United States,Sodium-sulfur battery,2000,0
2014,Sodium-based battery,United States,Electro-chemical battery and chemical storage,Sodium-nickel-chloride battery,United States,Sodium-nickel-chloride battery,100,500
2013,Zinc-based battery,United States,Electro-chemical battery and chemical storage,Zinc-air battery,United States,Zinc-air battery,1000,6000
2013,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,15,37.5
2016,Hydrogen storage,Thailand,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Thailand,Unknown Technology Sub-Type ,300,999
2015,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,10000,0
2013,Lithium-ion battery,Spain,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Spain,Unknown Technology Sub-Type ,20,20
2013,Lead-acid battery,New Zealand,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,New Zealand,Unknown Technology Sub-Type ,5,25
2015,Electro-chemical capacitor,Ireland,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Ireland,Unknown Technology Sub-Type ,0,150
2016,Flow battery,Australia,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Australia,Zinc-bromine flow battery,100,480
2015,Lithium-ion battery,Ireland,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Ireland,Unknown Technology Sub-Type ,300,150
2014,Flow battery,China,Electro-chemical battery and chemical storage,Vanadium redox flow battery,China,Vanadium redox flow battery,10,200
2013,Lead-acid battery,Madagascar,Electro-chemical battery and chemical storage,Valve regulated lead-acid battery,Madagascar,Valve regulated lead-acid battery,15,56.25
2016,Lithium-ion battery,Egypt,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Egypt,Unknown Technology Sub-Type ,30000,120000
2016,Lithium-ion battery,Australia,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Australia,Unknown Technology Sub-Type ,800,2000
2016,Lithium-ion battery,United Kingdom,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,United Kingdom,Lithium-iron phosphate battery,300,636
2017,Flow battery,Canada,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Canada,Vanadium redox flow battery,5000,20000
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,250,62.5
2015,Sodium-based battery,Japan,Electro-chemical battery and chemical storage,Sodium-sulfur battery,Japan,Sodium-sulfur battery,4200,25200
2015,Flow battery,Japan,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Japan,Vanadium redox flow battery,15000,60000
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,500
2013,Lithium-ion battery,Italy,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Italy,Unknown Technology Sub-Type ,1000,1000
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2100,945
2011,Flow battery,China,Electro-chemical battery and chemical storage,Vanadium redox flow battery,China,Vanadium redox flow battery,500,1000
